device,impl,matrix_type,m,n,k,mblk,nblk,kblk,mmk,nmk,time_ms_mean,time_ms_std,time_ms_min,time_ms_max,gflops_mean,gflops_std,gflops_min,gflops_max
rpi,01-naive,dense_no_zero,512,512,512,128,256,256,16,8,692.6289683333333,1.0742484539412431,690.771559,694.645595,0.3875611,0.0006011555166281102,0.386435,0.388602
rpi,01-naive,diagonal,128,128,128,128,256,256,16,8,9.636796566666668,0.008182748693749476,9.624695,9.655436,0.43523870000000003,0.00036949631606581076,0.434398,0.435786
rpi,01-naive,diagonal,256,256,256,128,256,256,16,8,75.92220506666666,0.07987499118598254,75.834352,76.264793,0.44195866666666667,0.00046357712101270605,0.439973,0.44247
rpi,01-naive,diagonal,512,512,512,128,256,256,16,8,602.8290492666667,0.14927905818387882,602.534622,603.116821,0.4452928,0.00011022653788981258,0.44508,0.44551
rpi,01-naive,random_dense,128,128,128,128,256,256,16,8,9.942833400000001,0.025444291437000756,9.883396,9.990137,0.4218446,0.0010800289778998848,0.419844,0.424379
rpi,01-naive,random_dense,256,256,256,128,256,256,16,8,82.05663863333334,0.1254929871035502,81.788931,82.364018,0.4089188,0.0006247570231146267,0.407392,0.410256
rpi,01-naive,random_dense,512,512,512,128,256,256,16,8,718.9129147333333,0.9109663562281562,717.070912,720.712922,0.37339136666666667,0.00047309374177401613,0.372458,0.37435
rpi,01-naive,random_sparse,128,128,128,128,256,256,16,8,10.959817833333334,0.03854021193424813,10.878666,11.063628,0.38270286666666664,0.001342748743624707,0.379107,0.385553
rpi,01-naive,random_sparse,256,256,256,128,256,256,16,8,89.90172596666666,0.1737436551320741,89.436273,90.180544,0.3732359333333333,0.0007220616524127769,0.372081,0.375177
rpi,01-naive,random_sparse,512,512,512,128,256,256,16,8,736.1879690000001,0.8364152655485873,734.363421,737.955966,0.3646294,0.0004142998747367777,0.363755,0.365535
rpi,02-coded,banded,128,128,128,128,256,256,16,8,0.4488396333333334,0.002759868268762036,0.444677,0.457121,9.345110166666666,0.056903285789064846,9.175479,9.432249
rpi,02-coded,banded,256,256,256,128,256,256,16,8,5.4735501,0.19301032544996147,4.986758,5.640468,6.138248966666667,0.2335997241159925,5.948874,6.728707
rpi,02-coded,banded,512,512,512,128,256,256,16,8,18.729141966666667,0.01618656165590048,18.711188,18.794538,14.332511833333333,0.01236192660211569,14.282631,14.346254
rpi,02-coded,block_sparse,128,128,128,128,256,256,16,8,0.8464932,0.40798245983108233,0.466714,1.477361,6.2098390666666665,2.7233195558514787,2.839052,8.986883
rpi,02-coded,block_sparse,256,256,256,128,256,256,16,8,5.4791033,0.282696988444146,5.146866,5.762299,6.139995533333333,0.3192493040533265,5.823098,6.519391
rpi,02-coded,block_sparse,512,512,512,128,256,256,16,8,18.974467100000002,0.015755705472009413,18.953684,19.039738,14.1472029,0.01172402270421572,14.098695,14.162706
rpi,02-coded,dense_no_zero,128,128,128,128,256,256,16,8,0.46443323333333336,0.003285149098420127,0.461455,0.473288,9.031447666666667,0.06313254671219765,8.862054,9.089302
rpi,02-coded,dense_no_zero,256,256,256,128,256,256,16,8,5.3394882333333324,0.6526579035541529,4.597302,7.311047,6.3640851666666665,0.6865000795254284,4.589552,7.298723
rpi,02-coded,dense_no_zero,512,512,512,128,256,256,16,8,19.5863163,3.474516164421806,18.83287,37.716165,13.933888966666666,1.3424197451009097,7.117252,14.253561
rpi,02-coded,diagonal,128,128,128,128,256,256,16,8,0.44626,0.00458371182219886,0.441159,0.462639,9.399728466666666,0.09453176725923416,9.066041,9.507466
rpi,02-coded,diagonal,256,256,256,128,256,256,16,8,5.448370233333334,0.2074193003768108,4.975684,5.570006,6.167882133333333,0.25173911971033297,6.024129,6.743682
rpi,02-coded,diagonal,512,512,512,128,256,256,16,8,18.717027033333334,0.02762605437336744,18.697188,18.851648,14.341808533333333,0.021045004117995144,14.239363,14.356996
rpi,02-coded,random_dense,128,128,128,128,256,256,16,8,0.45792710000000003,0.0041562795560784686,0.451991,0.46901,9.160047266666668,0.08210212442290395,8.942888,9.279618
rpi,02-coded,random_dense,256,256,256,128,256,256,16,8,5.092277333333333,0.44768891183347814,4.568858,5.610431,6.638975433333333,0.5854713183692369,5.980723,7.344162
